Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1922,-.33,-.44,-.15,-.23,-.34,-.31,-.28,-.32,-.36,-.33,-.15,-.19,-.28,-.28,-.32,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.41,-.34,-.29,-.31,-.33,-.31,-.14,-.02,-.04,-.27,-.28,-.29,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.36,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.30
1925,-.39,-.40,-.28,-.26,-.29,-.33,-.27,-.20,-.20,-.17,.05,.06,-.22,-.26,-.41,-.28,-.26,-.11
1926,.20,.02,.10,-.13,-.24,-.26,-.28,-.14,-.16,-.12,-.06,-.29,-.11,-.08,.10,-.09,-.22,-.11
1927,-.27,-.18,-.39,-.31,-.25,-.28,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.23,-.07
1928,-.02,-.09,-.26,-.28,-.30,-.39,-.20,-.22,-.22,-.20,-.09,-.16,-.20,-.22,-.15,-.28,-.27,-.17
1929,-.45,-.59,-.33,-.42,-.38,-.44,-.37,-.32,-.26,-.15,-.11,-.54,-.36,-.33,-.40,-.38,-.38,-.17
1930,-.30,-.27,-.11,-.25,-.25,-.22,-.21,-.15,-.16,-.12,.18,-.06,-.16,-.20,-.37,-.20,-.20,-.04
1931,-.10,-.21,-.10,-.23,-.20,-.08,-.04,-.04,-.07,.04,-.06,-.06,-.10,-.10,-.12,-.18,-.05,-.03
1932,.15,-.17,-.18,-.06,-.17,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.24,-.29,-.30,-.24,-.29,-.35,-.21,-.23,-.29,-.25,-.30,-.45,-.29,-.27,-.26,-.28,-.26,-.28
1934,-.21,-.03,-.29,-.31,-.10,-.15,-.11,-.12,-.16,-.07,.03,-.03,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.15,-.37,-.30,-.27,-.22,-.22,-.22,-.06,-.26,-.18,-.20,-.19,-.08,-.27,-.24,-.18
1936,-.28,-.39,-.22,-.20,-.17,-.22,-.10,-.13,-.10,-.03,.01,-.01,-.15,-.17,-.28,-.20,-.15,-.04
